ticker,sentiment,target,model,n,accuracy_insample,baseline_accuracy_insample,acc_minus_baseline_insample,pseudo_r2_mcfadden,llf,auc_insample,time_split_accuracy,time_split_baseline_accuracy,time_split_acc_minus_baseline,time_split_auc,time_split_n_train,time_split_n_test,walkforward_accuracy,walkforward_baseline_accuracy,walkforward_acc_minus_baseline,walkforward_auc,walkforward_n_predictions
AMD,NRC_net,next_day,logit_level_plus_trend10,578,0.5207612456747405,0.5017301038062284,0.01903114186851207,0.004207200440278447,-398.95005585465265,0.5284243295019158,0.4482758620689655,0.5241379310344828,-0.07586206896551728,0.48627002288329524,433.0,145.0,0.5079365079365079,0.5052910052910053,0.002645502645502562,0.5119690903491335,378.0
AMD,NRC_net,next_day,logit_level_plus_trend15,573,0.5148342059336823,0.5008726003490401,0.013961605584642212,0.005004173651845689,-395.1849418977391,0.5352391510928096,0.4861111111111111,0.5277777777777778,-0.041666666666666685,0.4958397832817338,429.0,144.0,0.5093833780160858,0.5067024128686327,0.002680965147453085,0.5245859213250518,373.0
AMD,HF_net_4,next_day,logit_level_lag1,588,0.5136054421768708,0.5051020408163265,0.008503401360544283,0.00026203139269098674,-407.4331411980278,0.501417381142467,0.48299319727891155,0.5306122448979592,-0.04761904761904767,0.4598662207357859,441.0,147.0,0.46649484536082475,0.5051546391752577,-0.03865979381443296,0.47116815476190477,388.0
AMD,HF_net_4,next_day,logit_level_plus_trend5,583,0.5454545454545454,0.5025728987993139,0.04288164665523153,0.009856025774232613,-400.11429625719757,0.567141344003766,0.5136986301369864,0.5273972602739726,-0.013698630136986245,0.5287031808770939,437.0,146.0,0.47780678851174935,0.5039164490861618,-0.026109660574412497,0.5051813471502591,383.0
AMD,HF_net_4,next_day,logit_level_plus_trend10,578,0.5346020761245674,0.5017301038062284,0.03287197231833905,0.0045762865500026395,-398.802186815878,0.5487907088122606,0.4827586206896552,0.5241379310344828,-0.04137931034482761,0.4927536231884058,433.0,145.0,0.4973544973544973,0.5052910052910053,-0.00793650793650802,0.49500237981913375,378.0
AMD,HF_net_4,next_day,logit_level_plus_trend15,573,0.5113438045375218,0.5008726003490401,0.010471204188481686,0.0015411312044240066,-396.5603669921303,0.5322360566263006,0.4791666666666667,0.5277777777777778,-0.048611111111111105,0.46110681114551083,429.0,144.0,0.4691689008042895,0.5067024128686327,-0.03753351206434319,0.46828272371750634,373.0
AMD,FB_net,next_day,logit_level_lag1,588,0.5221088435374149,0.5051020408163265,0.017006802721088454,0.0008241736019899415,-407.20404580170737,0.5226376016754024,0.47619047619047616,0.5306122448979592,-0.054421768707483054,0.5258268301746564,441.0,147.0,0.4845360824742268,0.5051546391752577,-0.02061855670103091,0.4769610969387756,388.0
AMD,FB_net,next_day,logit_level_plus_trend5,583,0.5283018867924528,0.5025728987993139,0.02572898799313894,0.004863623465321099,-402.1317114901942,0.5448158173472991,0.4589041095890411,0.5273972602739726,-0.0684931506849315,0.4641445511010729,437.0,146.0,0.4699738903394256,0.5039164490861618,-0.03394255874673624,0.4667030269975456,383.0
AMD,FB_net,next_day,logit_level_plus_trend10,578,0.527681660899654,0.5017301038062284,0.02595155709342556,0.0022890603705281176,-399.7185310718889,0.5303520114942528,0.47586206896551725,0.5241379310344828,-0.04827586206896556,0.513157894736842,433.0,145.0,0.48677248677248675,0.5052910052910053,-0.0185185185185186,0.47274407145056974,378.0
AMD,FB_net,next_day,logit_level_plus_trend15,573,0.5008726003490401,0.5008726003490401,0.0,0.0006123068331500559,-396.92927045431094,0.5158134548378451,0.5,0.5277777777777778,-0.02777777777777779,0.539860681114551,429.0,144.0,0.46648793565683644,0.5067024128686327,-0.04021447721179627,0.46273291925465837,373.0
